Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 01/02/2023 / Data final: 01/09/2025.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Taxa média;Taxa mediana;Taxa modal;Desvio padrão;Índice de curtose;
01/09/2025;14,9;1,00055131;1.307.142.797.935,18;847;14,9;14,89;14,9;0,0243;3722,0222;
29/08/2025;14,9;1,00055131;1.017.201.504.084,78;872;14,9;14,89;14,9;0,0242;1005,8444;
28/08/2025;14,9;1,00055131;1.057.647.598.408,71;913;14,9;14,89;14,9;0,0233;1242,9267;
27/08/2025;14,9;1,00055131;1.046.306.569.904,6;912;14,9;14,89;14,9;0,0232;1204,3473;
26/08/2025;14,9;1,00055131;1.055.338.831.578,64;882;14,9;14,89;14,9;0,0232;1303,3430;
25/08/2025;14,9;1,00055131;1.075.850.815.679,76;849;14,9;14,89;14,9;0,0224;1357,8376;
22/08/2025;14,9;1,00055131;1.094.463.734.148,28;860;14,9;14,89;14,9;0,0240;1410,1266;
21/08/2025;14,9;1,00055131;1.124.636.268.033,26;865;14,9;14,89;14,9;0,0210;1236,4935;
20/08/2025;14,9;1,00055131;1.178.398.715.066,13;873;14,9;14,89;14,9;0,0205;1481,0323;
19/08/2025;14,9;1,00055131;1.199.528.561.322,07;834;14,9;14,89;14,9;0,0203;1348,6395;
18/08/2025;14,9;1,00055131;1.211.758.392.426,3;875;14,9;14,89;14,9;0,0218;1203,2028;
15/08/2025;14,9;1,00055131;1.191.581.822.730,08;868;14,9;14,89;14,9;0,0209;8007,7117;
14/08/2025;14,9;1,00055131;1.171.193.439.506,12;853;14,9;14,89;14,9;0,0199;1542,9538;
13/08/2025;14,9;1,00055131;1.167.468.554.885,84;858;14,9;14,89;14,9;0,0210;1190,1256;
12/08/2025;14,9;1,00055131;1.194.728.776.036,13;870;14,9;14,89;14,9;0,0224;948,9849;
11/08/2025;14,9;1,00055131;1.184.619.041.729,52;866;14,9;14,89;14,9;0,0224;1159,2247;
08/08/2025;14,9;1,00055131;1.179.737.751.272,73;852;14,9;14,89;14,9;0,0235;1363,8766;
07/08/2025;14,9;1,00055131;1.173.362.168.525,27;813;14,9;14,89;14,9;0,0223;2004,0063;
06/08/2025;14,9;1,00055131;1.175.680.051.021,01;849;14,9;14,89;14,9;0,0227;1229,1778;
05/08/2025;14,9;1,00055131;1.190.390.452.684,42;859;14,9;14,89;14,9;0,0224;1067,5938;
04/08/2025;14,9;1,00055131;1.182.624.606.613,9;837;14,9;14,89;14,9;0,0244;1428,1387;
01/08/2025;14,9;1,00055131;1.147.039.513.241,77;865;14,9;14,89;14,9;0,0230;936,3124;
31/07/2025;14,9;1,00055131;1.153.154.078.594,86;864;14,9;14,89;14,9;0,0235;1177,7492;
30/07/2025;14,9;1,00055131;1.211.009.552.737,12;862;14,9;14,89;14,9;0,0224;1038,1218;
29/07/2025;14,9;1,00055131;1.241.173.018.440,8;868;14,9;14,89;14,9;0,0232;1607,1730;
28/07/2025;14,9;1,00055131;1.225.313.610.310,71;858;14,9;14,89;14,9;0,0229;1158,8264;
25/07/2025;14,9;1,00055131;1.223.435.681.991,18;849;14,9;14,89;14,9;0,0227;1135,2881;
24/07/2025;14,9;1,00055131;1.219.889.033.336,13;873;14,9;14,89;14,9;0,0218;1091,8068;
23/07/2025;14,9;1,00055131;1.227.459.512.466,77;854;14,9;14,89;14,9;0,0214;1170,9477;
22/07/2025;14,9;1,00055131;1.251.981.316.158,88;854;14,9;14,89;14,9;0,0226;1228,7551;
21/07/2025;14,9;1,00055131;1.237.192.545.061,12;848;14,9;14,89;14,9;0,0236;1220,6403;
18/07/2025;14,9;1,00055131;1.249.834.188.245,58;819;14,9;14,89;14,9;0,0269;604,9180;
17/07/2025;14,9;1,00055131;1.269.440.470.039,8;857;14,9;14,89;14,9;0,0229;901,2632;
16/07/2025;14,9;1,00055131;1.270.486.773.032,08;890;14,9;14,89;14,9;0,0216;1083,2254;
15/07/2025;14,9;1,00055131;1.291.157.767.633,19;843;14,9;14,89;14,9;0,0220;1132,5903;
14/07/2025;14,9;1,00055131;1.268.212.567.087,68;842;14,9;14,89;14,9;0,0232;844,8043;
11/07/2025;14,9;1,00055131;1.279.276.129.050,59;853;14,9;14,89;14,9;0,0226;761,6221;
10/07/2025;14,9;1,00055131;1.335.325.896.502,77;850;14,9;14,89;14,9;0,0954;37945,6661;
09/07/2025;14,9;1,00055131;1.344.187.208.921,53;819;14,9;14,89;14,9;0,0229;1214,7608;
08/07/2025;14,9;1,00055131;1.350.455.987.856,8;880;14,9;14,89;14,9;0,0238;697,0736;
07/07/2025;14,9;1,00055131;1.338.991.578.589,68;842;14,9;14,89;14,9;0,0227;715,8882;
04/07/2025;14,9;1,00055131;1.334.893.752.215,9;828;14,9;14,89;14,9;0,0223;765,5913;
03/07/2025;14,9;1,00055131;1.334.888.277.316,96;829;14,9;14,89;14,9;0,0235;659,1373;
02/07/2025;14,9;1,00055131;1.441.489.088.724,04;889;14,9;14,89;14,9;0,0255;481,6375;
01/07/2025;14,9;1,00055131;1.467.177.753.475,13;898;14,9;14,89;14,9;0,0225;748,4455;
30/06/2025;14,9;1,00055131;1.238.107.402.675,9;803;14,9;14,89;14,9;0,0212;1018,7752;
27/06/2025;14,9;1,00055131;1.271.041.247.751,94;858;14,9;14,89;14,9;0,1603;7921,9904;
26/06/2025;14,9;1,00055131;1.334.872.106.332,43;851;14,9;14,89;14,9;0,0205;1013,4706;
25/06/2025;14,9;1,00055131;1.365.363.610.515,66;870;14,9;14,89;14,9;0,0207;1157,7295;
24/06/2025;14,9;1,00055131;1.367.651.779.134,27;867;14,9;14,89;14,9;0,0208;1004,9203;
23/06/2025;14,9;1,00055131;1.370.580.307.689,78;906;14,9;14,89;14,9;0,0223;779,5311;
20/06/2025;14,9;1,00055131;1.386.450.069.756,22;902;14,9;14,89;14,9;0,0200;803,3770;
18/06/2025;14,65;1,00054266;1.386.372.003.315,18;874;14,65;14,64;14,65;0,0203;755,7714;
